Refs,Display,JLCPCB ID,Manufacturer,Part Number,Specifications,datasheet,footprint,prefix,value
1.5nF_0603_50V,1.5nF,C1595,Murata,GRM033R71H152KA12D,"1.5nF, 50V, 10%, X7R or similar",,4ms_Capacitor:C_0603,C,1.5nF_0603_50V
100nF_0603_16V,0.1uF,C14663,AVX Corporation,0603YC104KAT2A,"0.1uF, Min. 16V 10%, X7R or X5R or similar",,4ms_Capacitor:C_0603,C,100nF_0603_16V
100pF_0603_50V,100pF,C14858,?,?,"100pF, Min. 50V 10% NP0 or C0G",,4ms_Capacitor:C_0603,C,100pF_0603_50V
10nF_0603_25V,10nF,C57112,AVX Corporation,06035C103KAT2A,"10nF, Min 25V, 10%, X7R or similar",,4ms_Capacitor:C_0603,C,10nF_0603_25V
10uF_0603_10V,10uF/10V,C19702,Murata,GRM188R61A106KE69D,"10uF, Min. 10V X5R 10%",,4ms_Capacitor:C_0603,C,10uF_0603_10V
10uF_0805_25V,10uF/25V,C15850,Murata,GRM21BR61E106MA73L,"10uF, Min. 25V, X5R/X6S/X7R/X7S, 0805, MLCC",,4ms_Capacitor:C_0805,C,10uF_0805_25V
10uF_1206_25V,10uF/25V,C90538,Yaego,CC1206KKX5R8BB106,"10uF, Min. 25V, X5R or similar, 10%, MLCC",,4ms_Capacitor:C_1206,C,10uF_1206_25V
10uF_1206_35V,10uF,C13585,TDK,C3216X6S1V106K160AC,"10uF, X6S, Min 35V",,4ms_Capacitor:C_1206,C,10uF_1206_35V
10uF_1210_35V,10uF/50V,,Taiyo Yuden,GMK325BJ106MN-T,"10uF, Min. 35V, 20%, X5R or X7S or similar, 1210, MLCC",,4ms_Capacitor:C_1210,C,10uF_1210_35V
18pF_0603_50V,18pF,C1647,Kemet,C0603C180J5GACTU,"18pF, 50V 5% C0G (NP0) 0603",,4ms_Capacitor:C_0603,C,18pF_0603_50V
1nF_0603_50V,1nF,C163508,Murata,GRM1885C1H102JA01D,"1nF, 50V, 10%, C0G (NP0) or similar",,4ms_Capacitor:C_0603,C,1nF_0603_50V
1uF_0603_25V,1uF/25V,C15849,Murata,GRM188R61E105KA12D,"1uF, Min. 25V, 0603, Ceramic/MLCC",,4ms_Capacitor:C_0603,C,1uF_0603_25V
